STATION,NAME,DATE,PRCP_in
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-01,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-05,0.22
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-07,0.09
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-11,0.30
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-12,0.23
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-15,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-16,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-17,0.20
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-18,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-20,0.58
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-23,0.67
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-25,0.04
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-28,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-29,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-30,2.35
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-07-31,0.31
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-01,0.70
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-02,0.11
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-03,0.02
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-11,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-12,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-13,1.41
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-14,1.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-15,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-16,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-17,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-18,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-21,0.42
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-22,1.28
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-23,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-25,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-28,0.51
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-29,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-30,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-08-31,0.10
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-01,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-02,0.55
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-03,2.32
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-11,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-12,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-15,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-16,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-17,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-18,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-23,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-24,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-25,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-28,0.24
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-29,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-09-30,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-01,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-03,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-04,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-11,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-12,0.02
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-15,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-16,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-17,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-18,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-19,1.34
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-20,0.71
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-23,0.43
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-25,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-27,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-28,0.32
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-29,2.29
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-30,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-10-31,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-01,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-10,0.12
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-11,0.16
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-12,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-15,0.71
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-16,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-17,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-18,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-21,0.07
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-22,0.11
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-23,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-25,0.73
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-28,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-29,0.15
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-11-30,0.62
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-01,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-04,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-11,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-12,0.10
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-13,0.08
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-14,0.04
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-15,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-16,0.32
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-17,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-18,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-19,0.13
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-20,0.12
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-23,0.10
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-24,0.25
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-25,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-28,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-29,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-30,1.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2020-12-31,0.34
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-01,0.95
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-05,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-07,0.05
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-08,0.07
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-11,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-12,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-15,0.06
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-16,0.04
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-17,0.10
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-18,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-23,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-24,0.12
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-25,1.71
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-27,0.19
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-28,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-29,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-30,0.34
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-01-31,0.22
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-01,0.07
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-04,0.38
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-06,0.01
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-07,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-09,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-10,0.85
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-11,0.05
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-12,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-14,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-15,0.46
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-16,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-17,0.06
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-18,0.11
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-22,0.03
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-23,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-25,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-26,0.05
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-27,0.15
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-02-28,3.54
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-01,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-02,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-03,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-04,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-05,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-06,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-07,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-08,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-09,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-10,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-11,1.16
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-12,0.54
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-13,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-14,0.02
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-15,0.36
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-16,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-17,0.15
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-18,0.65
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-19,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-20,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-21,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-22,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-23,0.02
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-24,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-25,0.59
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-26,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-27,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-28,0.02
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-29,0.00
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-30,0.58
USW00093821,LOUISVILLE INTERNATIONAL AIRPORT, KY US,2021-03-31,0.67
